Date&Time,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,INJURED,KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,FACTOR_VEHICLE1,FACTOR_VEHICLE2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
4/7/15 13:00,STATEN ISLAND,10309,40.525685,-74.2011291,"(40.525685, -74.2011291)",,,27-3 SEGUINE AVENUE,1,0,1,0,0,0,0,0,Unspecified,,,,,3199229,SPORT UTILITY / STATION WAGON,,,,
4/7/15 16:56,MANHATTAN,10003,40.735214,-73.9917152,"(40.735214, -73.9917152)",EAST 14 STREET,UNION SQUARE WEST,,1,0,1,0,0,0,0,0,Unspecified,,,,,3199274,BUS,,,,
4/7/15 21:06,MANHATTAN,10037,40.8197705,-73.9367193,"(40.8197705, -73.9367193)",WEST 144 STREET,LENOX AVENUE,,1,0,1,0,0,0,0,0,Pavement Slippery,,,,,3199355,SPORT UTILITY / STATION WAGON,,,,
4/7/15 13:40,BROOKLYN,11207,40.6627814,-73.8808552,"(40.6627814, -73.8808552)",LINDEN BOULEVARD,ASHFORD STREET,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3198990,PASSENGER VEHICLE,OTHER,,,
4/7/15 18:47,MANHATTAN,10013,40.7155838,-74.0030301,"(40.7155838, -74.0030301)",WORTH STREET,LAFAYETTE STREET,,1,0,0,0,1,0,0,0,Oversized Vehicle,Failure to Yield Right-of-Way,,,,3199245,UNKNOWN,BICYCLE,,,
4/7/15 11:44,BROOKLYN,11212,40.6643768,-73.9237498,"(40.6643768, -73.9237498)",RUTLAND ROAD,ROCKAWAY PARKWAY,,1,0,1,0,0,0,0,0,Unspecified,,,,,3198935,PASSENGER VEHICLE,,,,
4/7/15 13:20,,,40.7492864,-73.7566341,"(40.7492864, -73.7566341)",,,,1,0,0,0,0,0,1,0,Obstruction/Debris,Fatigued/Drowsy,Unspecified,Unspecified,,3199168,VAN,PASSENGER VEHICLE,PASSENGER VEHICLE,OTHER,
4/7/15 15:00,MANHATTAN,10013,40.7169288,-74.0008189,"(40.7169288, -74.0008189)",CENTRE STREET,WHITE STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3199246,BUS,SPORT UTILITY / STATION WAGON,,,
4/7/15 16:00,QUEENS,11412,40.700567,-73.7640997,"(40.700567, -73.7640997)",FARMERS BOULEVARD,112 AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3199178,PASSENGER VEHICLE,,,,
4/7/15 19:00,QUEENS,11692,40.5924102,-73.788995,"(40.5924102, -73.788995)",BEACH 59 STREET,ROCKAWAY FREEWAY,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3199061,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
4/7/15 17:10,MANHATTAN,10028,40.7788219,-73.953985,"(40.7788219, -73.953985)",EAST 86 STREET,3 AVENUE,,1,0,0,0,1,0,0,0,Lost Consciousness,Lost Consciousness,,,,3198784,SMALL COM VEH(4 TIRES),BICYCLE,,,
4/7/15 21:45,QUEENS,11692,40.5918887,-73.7904909,"(40.5918887, -73.7904909)",ROCKAWAY BEACH BOULEVARD,BEACH 61 STREET,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3199574,PASSENGER VEHICLE,,,,
4/7/15 13:46,,,,,,7 AVENUE,68 STREET,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3198941,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
4/7/15 19:10,BROOKLYN,11203,40.6523139,-73.9560111,"(40.6523139, -73.9560111)",NEW YORK AVENUE,LENOX ROAD,,1,0,1,0,0,0,0,0,Unspecified,Unspecified,,,,3198936,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
4/7/15 22:17,,,,,,CROSS BRONX NORTH SERVICE ROAD,JEROME AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3199401,PASSENGER VEHICLE,PICK-UP TRUCK,,,
4/7/15 10:06,STATEN ISLAND,10304,40.607921,-74.089205,"(40.607921, -74.089205)",NARROWS ROAD SOUTH,TARGEE STREET,,1,0,0,0,0,0,1,0,Driver Inexperience,Unspecified,,,,3199706,SMALL COM VEH(4 TIRES),PASSENGER VEHICLE,,,
4/7/15 19:15,BROOKLYN,11211,40.7133723,-73.9348039,"(40.7133723, -73.9348039)",MORGAN AVENUE,GRAND STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3199052,PASSENGER VEHICLE,BICYCLE,,,
4/7/15 19:15,MANHATTAN,10018,40.7565272,-73.994019,"(40.7565272, -73.994019)",WEST 39 STREET,9 AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3199286,SPORT UTILITY / STATION WAGON,,,,
4/7/15 19:15,MANHATTAN,10029,40.7963012,-73.9382838,"(40.7963012, -73.9382838)",EAST 115 STREET,2 AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,3198796,UNKNOWN,,,,
4/7/15 8:40,MANHATTAN,10018,40.7528546,-73.9929799,"(40.7528546, -73.9929799)",WEST 35 STREET,8 AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3198732,TAXI,,,,
4/7/15 19:15,,,,,,NORTHERN BOULEVARD,48 STREET,,1,0,1,0,0,0,0,0,Unspecified,,,,,3199681,SPORT UTILITY / STATION WAGON,,,,
4/7/15 16:05,QUEENS,11428,40.7180681,-73.7425085,"(40.7180681, -73.7425085)",VANDERVEER STREET,94 ROAD,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3199099,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
4/7/15 8:57,QUEENS,11423,40.7254761,-73.7655773,"(40.7254761, -73.7655773)",FRANCIS LEWIS BOULEVARD,MCLAUGHLIN AVENUE,,1,0,0,0,0,0,1,0,Fatigued/Drowsy,Unspecified,,,,3199619,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
4/7/15 16:10,,,,,,UNION TURNPIKE,GRAND CENTRAL PARKWAY,,1,0,0,0,0,0,1,0,Fatigued/Drowsy,Unspecified,,,,3200063,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
4/7/15 14:30,BROOKLYN,11207,40.6540801,-73.891607,"(40.6540801, -73.891607)",MALTA STREET,WORTMAN AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,3198991,UNKNOWN,,,,
4/7/15 23:00,MANHATTAN,10021,40.7675352,-73.9532491,"(40.7675352, -73.9532491)",EAST 73 STREET,YORK AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3199314,PASSENGER VEHICLE,,,,
4/7/15 19:30,BROOKLYN,11220,40.6354937,-74.0095587,"(40.6354937, -74.0095587)",60 STREET,8 AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3198976,PASSENGER VEHICLE,BICYCLE,,,
4/7/15 9:10,BROOKLYN,11233,40.6717575,-73.9197075,"(40.6717575, -73.9197075)",PARK PLACE,HOWARD AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3198983,PASSENGER VEHICLE,UNKNOWN,,,
4/7/15 9:10,MANHATTAN,10001,40.7448014,-73.9914181,"(40.7448014, -73.9914181)",WEST 26 STREET,6 AVENUE,,1,0,0,0,0,0,1,0,Fatigued/Drowsy,Unspecified,,,,3198723,TAXI,TAXI,,,
4/7/15 23:35,BROOKLYN,11221,40.6864965,-73.9416378,"(40.6864965, -73.9416378)",THROOP AVENUE,MONROE STREET,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3199538,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
4/7/15 5:15,,,,,,,,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,,,,,3198861,PASSENGER VEHICLE,,,,
4/7/15 5:35,QUEENS,11101,40.7375371,-73.9299449,"(40.7375371, -73.9299449)",HUNTERSPOINT AVENUE,GREENPOINT AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,3199129,SPORT UTILITY / STATION WAGON,,,,
4/7/15 8:45,,,,,,TAPSCOTT STREET,EAST 98 STREET,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3198982,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
4/7/15 17:30,,,40.8248237,-73.8686386,"(40.8248237, -73.8686386)",,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3198841,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
4/7/15 15:15,MANHATTAN,10022,40.7597385,-73.9742232,"(40.7597385, -73.9742232)",EAST 53 STREET,MADISON AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3199311,PASSENGER VEHICLE,,,,
4/7/15 17:48,,,,,,EAST 145 STREET,COURTLANDT AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3199369,PASSENGER VEHICLE,,,,
4/7/15 12:50,,,,,,UNION TURNPIKE,271 STREET,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,3199607,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
4/7/15 14:45,QUEENS,11372,40.7512976,-73.8893302,"(40.7512976, -73.8893302)",35 AVENUE,77 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3199194,BICYCLE,,,,
4/7/15 17:54,MANHATTAN,10034,40.8664489,-73.9304888,"(40.8664489, -73.9304888)",RIVERSIDE DRIVE,HENSHAW STREET,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3198824,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
4/7/15 20:00,BROOKLYN,11203,40.653267,-73.9392594,"(40.653267, -73.9392594)",LINDEN BOULEVARD,ALBANY AVENUE,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3198937,PASSENGER VEHICLE,,,,
4/7/15 13:30,,,40.7914069,-73.9356781,"(40.7914069, -73.9356781)",,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3198795,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
4/7/15 16:30,BRONX,10458,40.8617006,-73.8913807,"(40.8617006, -73.8913807)",WEBSTER AVENUE,EAST FORDHAM ROAD,,1,0,1,0,0,0,0,0,Passenger Distraction,,,,,3199431,PASSENGER VEHICLE,,,,
4/7/15 9:58,BROOKLYN,11211,40.7103368,-73.951969,"(40.7103368, -73.951969)",SOUTH 1 STREET,HOOPER STREET,,1,0,1,0,0,0,0,0,Unspecified,,,,,3199554,PASSENGER VEHICLE,,,,
